Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1974","1974","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1975","1975","1000 ha","960","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1975","1975","1000 ha","15","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1975","1975","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1976","1976","1000 ha","965","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1976","1976","1000 ha","15","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1976","1976","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1977","1977","1000 ha","969","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1977","1977","1000 ha","16","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1977","1977","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1978","1978","1000 ha","974","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1978","1978","1000 ha","16","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1978","1978","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1979","1979","1000 ha","979","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1979","1979","1000 ha","16","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1979","1979","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1980","1980","1000 ha","984","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1980","1980","1000 ha","16","I","Imputed value",""
