Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1975","1975","1000 ha","351","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1975","1975","1000 ha","8631","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1976","1976","1000 ha","5260","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1976","1976","1000 ha","412","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1976","1976","1000 ha","8541","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1977","1977","1000 ha","5083","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1977","1977","1000 ha","426","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1977","1977","1000 ha","8531","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1978","1978","1000 ha","5149","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1978","1978","1000 ha","439","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1978","1978","1000 ha","8421","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1979","1979","1000 ha","5230","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1979","1979","1000 ha","456","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1979","1979","1000 ha","8274","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1980","1980","1000 ha","5230","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1980","1980","1000 ha","454","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1980","1980","1000 ha","8378","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1981","1981","1000 ha","5275","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1981","1981","1000 ha","484","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1981","1981","1000 ha","8356","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1982","1982","1000 ha","5288","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1982","1982","1000 ha","513","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1982","1982","1000 ha","8312","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1983","1983","1000 ha","5082","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1983","1983","1000 ha","525","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1983","1983","1000 ha","8384","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1984","1984","1000 ha","5104","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1984","1984","1000 ha","550","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1984","1984","1000 ha","8319","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1985","1985","1000 ha","5038","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1985","1985","1000 ha","585","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1985","1985","1000 ha","8328","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1986","1986","1000 ha","5013","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1986","1986","1000 ha","614","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1986","1986","1000 ha","8293","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1987","1987","1000 ha","4980","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1987","1987","1000 ha","650","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1987","1987","1000 ha","8277","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1988","1988","1000 ha","4812","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1988","1988","1000 ha","690","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1988","1988","1000 ha","8231","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1989","1989","1000 ha","4798","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1989","1989","1000 ha","705","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1989","1989","1000 ha","7989","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1990","1990","1000 ha","4885","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1990","1990","1000 ha","741","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1990","1990","1000 ha","7869","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1991","1991","1000 ha","4804","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1991","1991","1000 ha","772","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1991","1991","1000 ha","7936","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1992","1992","1000 ha","4766","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1992","1992","1000 ha","788","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1992","1992","1000 ha","8059","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1993","1993","1000 ha","4771","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1993","1993","1000 ha","655","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1993","1993","1000 ha","8216","A","Official figure",""
