Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","29","Burundi","5110","Area","6655","Permanent meadows and pastures","1966","1966","1000 ha","628","A","Official figure",""
"RL","Land Use","29","Burundi","5110","Area","6621","Arable land","1967","1967","1000 ha","788","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6650","Permanent crops","1967","1967","1000 ha","250","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6655","Permanent meadows and pastures","1967","1967","1000 ha","628","A","Official figure",""
"RL","Land Use","29","Burundi","5110","Area","6621","Arable land","1968","1968","1000 ha","800","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6650","Permanent crops","1968","1968","1000 ha","250","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6655","Permanent meadows and pastures","1968","1968","1000 ha","626","A","Official figure",""
"RL","Land Use","29","Burundi","5110","Area","6621","Arable land","1969","1969","1000 ha","992","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6650","Permanent crops","1969","1969","1000 ha","255","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6655","Permanent meadows and pastures","1969","1969","1000 ha","650","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6621","Arable land","1970","1970","1000 ha","940","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6650","Permanent crops","1970","1970","1000 ha","260","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6655","Permanent meadows and pastures","1970","1970","1000 ha","680","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6621","Arable land","1971","1971","1000 ha","929","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6650","Permanent crops","1971","1971","1000 ha","260","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6655","Permanent meadows and pastures","1971","1971","1000 ha","710","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6621","Arable land","1972","1972","1000 ha","896","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6650","Permanent crops","1972","1972","1000 ha","270","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6655","Permanent meadows and pastures","1972","1972","1000 ha","740","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6621","Arable land","1973","1973","1000 ha","930","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6650","Permanent crops","1973","1973","1000 ha","300","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6655","Permanent meadows and pastures","1973","1973","1000 ha","770","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6621","Arable land","1974","1974","1000 ha","930","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6650","Permanent crops","1974","1974","1000 ha","300","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6655","Permanent meadows and pastures","1974","1974","1000 ha","800","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6621","Arable land","1975","1975","1000 ha","930","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6650","Permanent crops","1975","1975","1000 ha","300","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6655","Permanent meadows and pastures","1975","1975","1000 ha","830","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6621","Arable land","1976","1976","1000 ha","935","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6650","Permanent crops","1976","1976","1000 ha","300","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6655","Permanent meadows and pastures","1976","1976","1000 ha","860","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6621","Arable land","1977","1977","1000 ha","942","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6650","Permanent crops","1977","1977","1000 ha","320","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6655","Permanent meadows and pastures","1977","1977","1000 ha","881","A","Official figure",""
"RL","Land Use","29","Burundi","5110","Area","6621","Arable land","1978","1978","1000 ha","935","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6650","Permanent crops","1978","1978","1000 ha","320","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6655","Permanent meadows and pastures","1978","1978","1000 ha","865","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6621","Arable land","1979","1979","1000 ha","930","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6650","Permanent crops","1979","1979","1000 ha","320","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6655","Permanent meadows and pastures","1979","1979","1000 ha","850","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6621","Arable land","1980","1980","1000 ha","930","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6650","Permanent crops","1980","1980","1000 ha","320","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6655","Permanent meadows and pastures","1980","1980","1000 ha","838","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6621","Arable land","1981","1981","1000 ha","930","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6650","Permanent crops","1981","1981","1000 ha","320","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6655","Permanent meadows and pastures","1981","1981","1000 ha","825","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6621","Arable land","1982","1982","1000 ha","930","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6650","Permanent crops","1982","1982","1000 ha","320","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6655","Permanent meadows and pastures","1982","1982","1000 ha","810","A","Official figure",""
"RL","Land Use","29","Burundi","5110","Area","6621","Arable land","1983","1983","1000 ha","930","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6650","Permanent crops","1983","1983","1000 ha","320","I","Imputed value",""
"RL","Land Use","29","Burundi","5110","Area","6655","Permanent meadows and pastures","1983","1983","1000 ha","810","I","Imputed value",""
