Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","37","Central African Republic","5110","Area","6621","Arable land","1961","1961","1000 ha","1680","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6650","Permanent crops","1961","1961","1000 ha","58","A","Official figure",""
"RL","Land Use","37","Central African Republic","5110","Area","6655","Permanent meadows and pastures","1961","1961","1000 ha","3000","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6621","Arable land","1962","1962","1000 ha","1690","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6650","Permanent crops","1962","1962","1000 ha","58","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6655","Permanent meadows and pastures","1962","1962","1000 ha","3000","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6621","Arable land","1963","1963","1000 ha","1700","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6650","Permanent crops","1963","1963","1000 ha","56","A","Official figure",""
"RL","Land Use","37","Central African Republic","5110","Area","6655","Permanent meadows and pastures","1963","1963","1000 ha","3000","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6621","Arable land","1964","1964","1000 ha","1710","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6650","Permanent crops","1964","1964","1000 ha","60","A","Official figure",""
"RL","Land Use","37","Central African Republic","5110","Area","6655","Permanent meadows and pastures","1964","1964","1000 ha","3000","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6621","Arable land","1965","1965","1000 ha","1720","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6650","Permanent crops","1965","1965","1000 ha","60","A","Official figure",""
"RL","Land Use","37","Central African Republic","5110","Area","6655","Permanent meadows and pastures","1965","1965","1000 ha","3000","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6621","Arable land","1966","1966","1000 ha","1730","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6650","Permanent crops","1966","1966","1000 ha","60","A","Official figure",""
"RL","Land Use","37","Central African Republic","5110","Area","6655","Permanent meadows and pastures","1966","1966","1000 ha","3000","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6621","Arable land","1967","1967","1000 ha","1740","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6650","Permanent crops","1967","1967","1000 ha","60","A","Official figure",""
"RL","Land Use","37","Central African Republic","5110","Area","6655","Permanent meadows and pastures","1967","1967","1000 ha","3000","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6621","Arable land","1968","1968","1000 ha","1750","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6650","Permanent crops","1968","1968","1000 ha","60","A","Official figure",""
"RL","Land Use","37","Central African Republic","5110","Area","6655","Permanent meadows and pastures","1968","1968","1000 ha","3000","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6621","Arable land","1969","1969","1000 ha","1760","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6650","Permanent crops","1969","1969","1000 ha","60","A","Official figure",""
"RL","Land Use","37","Central African Republic","5110","Area","6655","Permanent meadows and pastures","1969","1969","1000 ha","3000","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6621","Arable land","1970","1970","1000 ha","1770","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6650","Permanent crops","1970","1970","1000 ha","60","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6655","Permanent meadows and pastures","1970","1970","1000 ha","3000","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6621","Arable land","1971","1971","1000 ha","1780","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6650","Permanent crops","1971","1971","1000 ha","60","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6655","Permanent meadows and pastures","1971","1971","1000 ha","3000","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6621","Arable land","1972","1972","1000 ha","1790","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6650","Permanent crops","1972","1972","1000 ha","60","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6655","Permanent meadows and pastures","1972","1972","1000 ha","3000","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6621","Arable land","1973","1973","1000 ha","1800","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6650","Permanent crops","1973","1973","1000 ha","60","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6655","Permanent meadows and pastures","1973","1973","1000 ha","3000","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6621","Arable land","1974","1974","1000 ha","1810","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6650","Permanent crops","1974","1974","1000 ha","60","I","Imputed value",""
