Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Thailand","Area harvested","Cocoa beans","2017","ha","45"
"Crops and livestock products","Thailand","Yield","Cocoa beans","2017","100 g/ha","27778"
"Crops and livestock products","Thailand","Area harvested","Cocoa beans","2018","ha","43"
"Crops and livestock products","Thailand","Yield","Cocoa beans","2018","100 g/ha","29197"
"Crops and livestock products","Thailand","Area harvested","Cocoa beans","2019","ha","43"
"Crops and livestock products","Thailand","Yield","Cocoa beans","2019","100 g/ha","28948"
"Crops and livestock products","Thailand","Area harvested","Cocoa beans","2020","ha","43"
"Crops and livestock products","Thailand","Yield","Cocoa beans","2020","100 g/ha","28625"
"Crops and livestock products","Thailand","Area harvested","Cocoa beans","2021","ha","43"
"Crops and livestock products","Thailand","Yield","Cocoa beans","2021","100 g/ha","28922"
"Crops and livestock products","Thailand","Area harvested","Cocoa beans","2022","ha","43"
"Crops and livestock products","Thailand","Yield","Cocoa beans","2022","100 g/ha","28830"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1961","ha","185120"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1961","100 g/ha","52885"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1962","ha","211520"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1962","100 g/ha","47546"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1963","ha","224000"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1963","100 g/ha","43732"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1964","ha","224000"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1964","100 g/ha","40732"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1965","ha","248000"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1965","100 g/ha","34500"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1966","ha","234000"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1966","100 g/ha","35043"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1967","ha","228000"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1967","100 g/ha","34956"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1968","ha","215000"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1968","100 g/ha","33721"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1969","ha","212000"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1969","100 g/ha","34009"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1970","ha","210000"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1970","100 g/ha","33952"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1971","ha","208000"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1971","100 g/ha","33942"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1972","ha","206000"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1972","100 g/ha","33932"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1973","ha","201000"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1973","100 g/ha","34378"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1974","ha","201000"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1974","100 g/ha","34030"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1975","ha","201920"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1975","100 g/ha","41710"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1976","ha","216640"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1976","100 g/ha","41585"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1977","ha","223200"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1977","100 g/ha","41550"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1978","ha","202880"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1978","100 g/ha","41552"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1979","ha","230880"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1979","100 g/ha","34000"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1980","ha","232480"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1980","100 g/ha","28867"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1981","ha","275200"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1981","100 g/ha","32242"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1982","ha","278080"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1982","100 g/ha","38690"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1983","ha","280640"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1983","100 g/ha","39250"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1984","ha","296480"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1984","100 g/ha","38053"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1985","ha","306400"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1985","100 g/ha","40013"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1986","ha","327200"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1986","100 g/ha","39108"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1987","ha","331558"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1987","100 g/ha","39525"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1988","ha","337039"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1988","100 g/ha","40876"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1989","ha","350400"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1989","100 g/ha","41000"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1990","ha","346140"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1990","100 g/ha","41206"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1991","ha","337120"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1991","100 g/ha","40905"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1992","ha","336480"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1992","100 g/ha","41934"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1993","ha","344480"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1993","100 g/ha","42441"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1994","ha","352960"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1994","100 g/ha","40656"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1995","ha","335360"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1995","100 g/ha","42122"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1996","ha","333920"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1996","100 g/ha","42495"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1997","ha","330560"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1997","100 g/ha","41929"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1998","ha","330560"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1998","100 g/ha","41505"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","1999","ha","327680"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","1999","100 g/ha","42130"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","2000","ha","315150"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","2000","100 g/ha","56966"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","2001","ha","303481"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","2001","100 g/ha","63745"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","2002","ha","293251"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","2002","100 g/ha","69468"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","2003","ha","278417"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","2003","100 g/ha","76048"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","2004","ha","270368"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","2004","100 g/ha","78628"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","2005","ha","265403"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","2005","100 g/ha","73109"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","2006","ha","258187"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","2006","100 g/ha","70313"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","2007","ha","255697"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","2007","100 g/ha","67331"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","2008","ha","245725"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","2008","100 g/ha","60390"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","2009","ha","237882"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","2009","100 g/ha","58053"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","2010","ha","230950"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","2010","100 g/ha","56209"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","2011","ha","215993"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","2011","100 g/ha","48859"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","2012","ha","213197"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","2012","100 g/ha","49562"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","2013","ha","208603"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","2013","100 g/ha","48419"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","2014","ha","207126"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","2014","100 g/ha","48295"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","2015","ha","191540"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","2015","100 g/ha","47201"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","2016","ha","190000"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","2016","100 g/ha","47584"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","2017","ha","121033"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","2017","100 g/ha","62951"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","2018","ha","121248"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","2018","100 g/ha","70783"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","2019","ha","123842"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","2019","100 g/ha","69961"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","2020","ha","124382"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","2020","100 g/ha","49705"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","2021","ha","128358"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","2021","100 g/ha","50785"
"Crops and livestock products","Thailand","Area harvested","Coconuts, in shell","2022","ha","131422"
"Crops and livestock products","Thailand","Yield","Coconuts, in shell","2022","100 g/ha","51683"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1961","ha","1000"
"Crops and livestock products","Thailand","Yield","Coffee, green","1961","100 g/ha","600"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1962","ha","1000"
"Crops and livestock products","Thailand","Yield","Coffee, green","1962","100 g/ha","600"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1963","ha","1000"
"Crops and livestock products","Thailand","Yield","Coffee, green","1963","100 g/ha","600"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1964","ha","1000"
"Crops and livestock products","Thailand","Yield","Coffee, green","1964","100 g/ha","600"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1965","ha","2000"
"Crops and livestock products","Thailand","Yield","Coffee, green","1965","100 g/ha","600"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1966","ha","2000"
"Crops and livestock products","Thailand","Yield","Coffee, green","1966","100 g/ha","600"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1967","ha","2000"
"Crops and livestock products","Thailand","Yield","Coffee, green","1967","100 g/ha","600"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1968","ha","2000"
"Crops and livestock products","Thailand","Yield","Coffee, green","1968","100 g/ha","900"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1969","ha","2000"
"Crops and livestock products","Thailand","Yield","Coffee, green","1969","100 g/ha","1200"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1970","ha","3000"
"Crops and livestock products","Thailand","Yield","Coffee, green","1970","100 g/ha","2000"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1971","ha","4000"
"Crops and livestock products","Thailand","Yield","Coffee, green","1971","100 g/ha","2850"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1972","ha","3681"
"Crops and livestock products","Thailand","Yield","Coffee, green","1972","100 g/ha","4501"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1973","ha","3815"
"Crops and livestock products","Thailand","Yield","Coffee, green","1973","100 g/ha","5872"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1974","ha","5716"
"Crops and livestock products","Thailand","Yield","Coffee, green","1974","100 g/ha","7033"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1975","ha","7167"
"Crops and livestock products","Thailand","Yield","Coffee, green","1975","100 g/ha","8115"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1976","ha","9722"
"Crops and livestock products","Thailand","Yield","Coffee, green","1976","100 g/ha","7853"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1977","ha","8726"
"Crops and livestock products","Thailand","Yield","Coffee, green","1977","100 g/ha","7220"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1978","ha","10036"
"Crops and livestock products","Thailand","Yield","Coffee, green","1978","100 g/ha","6875"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1979","ha","12000"
"Crops and livestock products","Thailand","Yield","Coffee, green","1979","100 g/ha","6250"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1980","ha","17186"
"Crops and livestock products","Thailand","Yield","Coffee, green","1980","100 g/ha","5307"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1981","ha","21140"
"Crops and livestock products","Thailand","Yield","Coffee, green","1981","100 g/ha","5705"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1982","ha","24121"
"Crops and livestock products","Thailand","Yield","Coffee, green","1982","100 g/ha","7686"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1983","ha","24896"
"Crops and livestock products","Thailand","Yield","Coffee, green","1983","100 g/ha","7244"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1984","ha","26286"
"Crops and livestock products","Thailand","Yield","Coffee, green","1984","100 g/ha","6885"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1985","ha","35040"
"Crops and livestock products","Thailand","Yield","Coffee, green","1985","100 g/ha","7603"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1986","ha","35520"
"Crops and livestock products","Thailand","Yield","Coffee, green","1986","100 g/ha","8856"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1987","ha","37920"
"Crops and livestock products","Thailand","Yield","Coffee, green","1987","100 g/ha","6651"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1988","ha","40800"
"Crops and livestock products","Thailand","Yield","Coffee, green","1988","100 g/ha","8616"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1989","ha","50560"
"Crops and livestock products","Thailand","Yield","Coffee, green","1989","100 g/ha","11784"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1990","ha","60320"
"Crops and livestock products","Thailand","Yield","Coffee, green","1990","100 g/ha","11851"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1991","ha","67200"
"Crops and livestock products","Thailand","Yield","Coffee, green","1991","100 g/ha","7043"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1992","ha","74720"
"Crops and livestock products","Thailand","Yield","Coffee, green","1992","100 g/ha","10758"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1993","ha","72480"
"Crops and livestock products","Thailand","Yield","Coffee, green","1993","100 g/ha","9717"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1994","ha","69920"
"Crops and livestock products","Thailand","Yield","Coffee, green","1994","100 g/ha","11181"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1995","ha","71423"
"Crops and livestock products","Thailand","Yield","Coffee, green","1995","100 g/ha","12104"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1996","ha","69405"
"Crops and livestock products","Thailand","Yield","Coffee, green","1996","100 g/ha","11568"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1997","ha","67832"
"Crops and livestock products","Thailand","Yield","Coffee, green","1997","100 g/ha","12356"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1998","ha","65027"
"Crops and livestock products","Thailand","Yield","Coffee, green","1998","100 g/ha","12063"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","1999","ha","65120"
"Crops and livestock products","Thailand","Yield","Coffee, green","1999","100 g/ha","8434"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","2000","ha","67486"
"Crops and livestock products","Thailand","Yield","Coffee, green","2000","100 g/ha","12011"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","2001","ha","69170"
"Crops and livestock products","Thailand","Yield","Coffee, green","2001","100 g/ha","12434"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","2002","ha","70289"
"Crops and livestock products","Thailand","Yield","Coffee, green","2002","100 g/ha","7604"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","2003","ha","70447"
"Crops and livestock products","Thailand","Yield","Coffee, green","2003","100 g/ha","7652"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","2004","ha","70932"
"Crops and livestock products","Thailand","Yield","Coffee, green","2004","100 g/ha","8708"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","2005","ha","69535"
"Crops and livestock products","Thailand","Yield","Coffee, green","2005","100 g/ha","8578"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","2006","ha","68780"
"Crops and livestock products","Thailand","Yield","Coffee, green","2006","100 g/ha","6815"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","2007","ha","67941"
"Crops and livestock products","Thailand","Yield","Coffee, green","2007","100 g/ha","8192"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","2008","ha","62186"
"Crops and livestock products","Thailand","Yield","Coffee, green","2008","100 g/ha","8111"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","2009","ha","58454"
"Crops and livestock products","Thailand","Yield","Coffee, green","2009","100 g/ha","9634"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","2010","ha","57518"
"Crops and livestock products","Thailand","Yield","Coffee, green","2010","100 g/ha","8511"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","2011","ha","51663"
"Crops and livestock products","Thailand","Yield","Coffee, green","2011","100 g/ha","8206"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","2012","ha","48978"
"Crops and livestock products","Thailand","Yield","Coffee, green","2012","100 g/ha","8465"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","2013","ha","47733"
"Crops and livestock products","Thailand","Yield","Coffee, green","2013","100 g/ha","7871"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","2014","ha","41754"
"Crops and livestock products","Thailand","Yield","Coffee, green","2014","100 g/ha","9089"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","2015","ha","40229"
"Crops and livestock products","Thailand","Yield","Coffee, green","2015","100 g/ha","6485"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","2016","ha","43609"
"Crops and livestock products","Thailand","Yield","Coffee, green","2016","100 g/ha","7012"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","2017","ha","40489"
"Crops and livestock products","Thailand","Yield","Coffee, green","2017","100 g/ha","6399"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","2018","ha","41253"
"Crops and livestock products","Thailand","Yield","Coffee, green","2018","100 g/ha","5725"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","2019","ha","36804"
"Crops and livestock products","Thailand","Yield","Coffee, green","2019","100 g/ha","7180"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","2020","ha","35949"
"Crops and livestock products","Thailand","Yield","Coffee, green","2020","100 g/ha","6254"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","2021","ha","36593"
"Crops and livestock products","Thailand","Yield","Coffee, green","2021","100 g/ha","5950"
"Crops and livestock products","Thailand","Area harvested","Coffee, green","2022","ha","32450"
"Crops and livestock products","Thailand","Yield","Coffee, green","2022","100 g/ha","5759"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","1990","ha","0"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","1991","ha","0"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","1992","ha","0"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","1993","ha","0"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","1994","ha","0"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","1995","ha","0"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","1996","ha","0"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","1997","ha","0"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","1998","ha","0"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","1999","ha","0"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","2000","ha","0"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","2001","ha","0"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","2002","ha","0"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","2003","ha","0"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","2004","ha","0"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","2005","ha","0"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","2006","ha","0"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","2007","ha","0"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","2008","ha","0"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","2009","ha","0"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","2010","ha","0"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","2011","ha","0"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","2012","ha","0"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","2013","ha","0"
"Crops and livestock products","Thailand","Area harvested","Coir, raw","2014","ha","0"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1961","ha","14000"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1961","100 g/ha","70000"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1962","ha","15000"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1962","100 g/ha","70000"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1963","ha","16000"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1963","100 g/ha","70000"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1964","ha","17000"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1964","100 g/ha","70000"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1965","ha","18000"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1965","100 g/ha","70000"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1966","ha","19000"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1966","100 g/ha","70000"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1967","ha","20000"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1967","100 g/ha","70000"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1968","ha","21000"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1968","100 g/ha","70000"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1969","ha","22000"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1969","100 g/ha","70000"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1970","ha","23000"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1970","100 g/ha","70000"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1971","ha","24000"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1971","100 g/ha","70000"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1972","ha","25000"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1972","100 g/ha","70000"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1973","ha","26000"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1973","100 g/ha","70962"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1974","ha","27000"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1974","100 g/ha","70926"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1975","ha","28000"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1975","100 g/ha","71071"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1976","ha","29000"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1976","100 g/ha","72069"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1977","ha","30000"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1977","100 g/ha","72000"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1978","ha","31000"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1978","100 g/ha","72903"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1979","ha","32000"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1979","100 g/ha","73125"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1980","ha","33189"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1980","100 g/ha","91342"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1981","ha","36036"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1981","100 g/ha","75160"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1982","ha","30003"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1982","100 g/ha","70212"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1983","ha","26834"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1983","100 g/ha","76356"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1984","ha","26837"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1984","100 g/ha","71832"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1985","ha","26282"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1985","100 g/ha","78564"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1986","ha","26500"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1986","100 g/ha","75472"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1987","ha","26500"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1987","100 g/ha","75472"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1988","ha","26800"
"Crops and livestock products","Thailand","Yield","Cucumbers and gherkins","1988","100 g/ha","76493"
"Crops and livestock products","Thailand","Area harvested","Cucumbers and gherkins","1989","ha","26800"
