Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Thailand","Area harvested","Areca nuts","2013","ha","24000"
"Crops and livestock products","Thailand","Yield","Areca nuts","2013","100 g/ha","16667"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","2014","ha","21540"
"Crops and livestock products","Thailand","Yield","Areca nuts","2014","100 g/ha","16816"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","2015","ha","23031"
"Crops and livestock products","Thailand","Yield","Areca nuts","2015","100 g/ha","16954"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","2016","ha","22857"
"Crops and livestock products","Thailand","Yield","Areca nuts","2016","100 g/ha","16810"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","2017","ha","22476"
"Crops and livestock products","Thailand","Yield","Areca nuts","2017","100 g/ha","16861"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","2018","ha","22788"
"Crops and livestock products","Thailand","Yield","Areca nuts","2018","100 g/ha","16875"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","2019","ha","22707"
"Crops and livestock products","Thailand","Yield","Areca nuts","2019","100 g/ha","16849"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","2020","ha","22657"
"Crops and livestock products","Thailand","Yield","Areca nuts","2020","100 g/ha","16862"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","2021","ha","22717"
"Crops and livestock products","Thailand","Yield","Areca nuts","2021","100 g/ha","16862"
"Crops and livestock products","Thailand","Area harvested","Areca nuts","2022","ha","22694"
"Crops and livestock products","Thailand","Yield","Areca nuts","2022","100 g/ha","16858"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1961","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1962","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1963","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1964","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1965","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1966","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1967","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1968","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1969","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1970","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1971","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1972","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1973","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1974","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1975","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1976","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1977","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1978","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1979","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1980","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1981","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1982","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1983","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1984","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1985","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1986","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1987","ha","0"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1988","ha","1000"
"Crops and livestock products","Thailand","Yield","Asparagus","1988","100 g/ha","55000"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1989","ha","1500"
"Crops and livestock products","Thailand","Yield","Asparagus","1989","100 g/ha","73333"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1990","ha","2000"
"Crops and livestock products","Thailand","Yield","Asparagus","1990","100 g/ha","69000"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1991","ha","2500"
"Crops and livestock products","Thailand","Yield","Asparagus","1991","100 g/ha","44000"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1992","ha","3000"
"Crops and livestock products","Thailand","Yield","Asparagus","1992","100 g/ha","55000"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1993","ha","3500"
"Crops and livestock products","Thailand","Yield","Asparagus","1993","100 g/ha","65714"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1994","ha","4000"
"Crops and livestock products","Thailand","Yield","Asparagus","1994","100 g/ha","65000"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1995","ha","4500"
"Crops and livestock products","Thailand","Yield","Asparagus","1995","100 g/ha","65556"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1996","ha","5000"
"Crops and livestock products","Thailand","Yield","Asparagus","1996","100 g/ha","70000"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1997","ha","5500"
"Crops and livestock products","Thailand","Yield","Asparagus","1997","100 g/ha","70000"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1998","ha","6000"
"Crops and livestock products","Thailand","Yield","Asparagus","1998","100 g/ha","80000"
"Crops and livestock products","Thailand","Area harvested","Asparagus","1999","ha","6500"
"Crops and livestock products","Thailand","Yield","Asparagus","1999","100 g/ha","80000"
"Crops and livestock products","Thailand","Area harvested","Asparagus","2000","ha","7945"
"Crops and livestock products","Thailand","Yield","Asparagus","2000","100 g/ha","90701"
"Crops and livestock products","Thailand","Area harvested","Asparagus","2001","ha","13297"
"Crops and livestock products","Thailand","Yield","Asparagus","2001","100 g/ha","58026"
"Crops and livestock products","Thailand","Area harvested","Asparagus","2002","ha","16876"
"Crops and livestock products","Thailand","Yield","Asparagus","2002","100 g/ha","39793"
"Crops and livestock products","Thailand","Area harvested","Asparagus","2003","ha","17204"
"Crops and livestock products","Thailand","Yield","Asparagus","2003","100 g/ha","45608"
"Crops and livestock products","Thailand","Area harvested","Asparagus","2004","ha","20046"
"Crops and livestock products","Thailand","Yield","Asparagus","2004","100 g/ha","48977"
"Crops and livestock products","Thailand","Area harvested","Asparagus","2005","ha","20658"
"Crops and livestock products","Thailand","Yield","Asparagus","2005","100 g/ha","42184"
"Crops and livestock products","Thailand","Area harvested","Asparagus","2006","ha","18606"
"Crops and livestock products","Thailand","Yield","Asparagus","2006","100 g/ha","42297"
"Crops and livestock products","Thailand","Area harvested","Asparagus","2007","ha","21164"
"Crops and livestock products","Thailand","Yield","Asparagus","2007","100 g/ha","37292"
"Crops and livestock products","Thailand","Area harvested","Asparagus","2008","ha","17783"
"Crops and livestock products","Thailand","Yield","Asparagus","2008","100 g/ha","37711"
"Crops and livestock products","Thailand","Area harvested","Asparagus","2009","ha","17146"
"Crops and livestock products","Thailand","Yield","Asparagus","2009","100 g/ha","37807"
"Crops and livestock products","Thailand","Area harvested","Asparagus","2010","ha","16657"
"Crops and livestock products","Thailand","Yield","Asparagus","2010","100 g/ha","37887"
"Crops and livestock products","Thailand","Area harvested","Asparagus","2011","ha","2280"
"Crops and livestock products","Thailand","Yield","Asparagus","2011","100 g/ha","104531"
"Crops and livestock products","Thailand","Area harvested","Asparagus","2012","ha","2552"
"Crops and livestock products","Thailand","Yield","Asparagus","2012","100 g/ha","90481"
"Crops and livestock products","Thailand","Area harvested","Asparagus","2013","ha","1918"
"Crops and livestock products","Thailand","Yield","Asparagus","2013","100 g/ha","92935"
"Crops and livestock products","Thailand","Area harvested","Asparagus","2014","ha","1790"
"Crops and livestock products","Thailand","Yield","Asparagus","2014","100 g/ha","83693"
"Crops and livestock products","Thailand","Area harvested","Asparagus","2015","ha","1408"
"Crops and livestock products","Thailand","Yield","Asparagus","2015","100 g/ha","168239"
"Crops and livestock products","Thailand","Area harvested","Asparagus","2016","ha","1821"
"Crops and livestock products","Thailand","Yield","Asparagus","2016","100 g/ha","133014"
"Crops and livestock products","Thailand","Area harvested","Asparagus","2017","ha","1800"
"Crops and livestock products","Thailand","Yield","Asparagus","2017","100 g/ha","138889"
"Crops and livestock products","Thailand","Area harvested","Asparagus","2018","ha","1730"
"Crops and livestock products","Thailand","Yield","Asparagus","2018","100 g/ha","140079"
"Crops and livestock products","Thailand","Area harvested","Asparagus","2019","ha","1784"
"Crops and livestock products","Thailand","Yield","Asparagus","2019","100 g/ha","137274"
"Crops and livestock products","Thailand","Area harvested","Asparagus","2020","ha","1771"
"Crops and livestock products","Thailand","Yield","Asparagus","2020","100 g/ha","138734"
"Crops and livestock products","Thailand","Area harvested","Asparagus","2021","ha","1762"
"Crops and livestock products","Thailand","Yield","Asparagus","2021","100 g/ha","138682"
"Crops and livestock products","Thailand","Area harvested","Asparagus","2022","ha","1772"
"Crops and livestock products","Thailand","Yield","Asparagus","2022","100 g/ha","138227"
"Crops and livestock products","Thailand","Area harvested","Bananas","1961","ha","70000"
"Crops and livestock products","Thailand","Yield","Bananas","1961","100 g/ha","92286"
"Crops and livestock products","Thailand","Area harvested","Bananas","1962","ha","70000"
"Crops and livestock products","Thailand","Yield","Bananas","1962","100 g/ha","94714"
"Crops and livestock products","Thailand","Area harvested","Bananas","1963","ha","80000"
"Crops and livestock products","Thailand","Yield","Bananas","1963","100 g/ha","99500"
"Crops and livestock products","Thailand","Area harvested","Bananas","1964","ha","80000"
"Crops and livestock products","Thailand","Yield","Bananas","1964","100 g/ha","92875"
"Crops and livestock products","Thailand","Area harvested","Bananas","1965","ha","120000"
"Crops and livestock products","Thailand","Yield","Bananas","1965","100 g/ha","97750"
