Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","012","Algeria","5110","Area","6601","Land area","2015","2015","1000 ha","238174.1","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6602","Agriculture","2008","2008","1000 ha","41309","I","Imputed value",""
"RL","Land Use","012","Algeria","5110","Area","6602","Agriculture","2015","2015","1000 ha","41456.4","I","Imputed value",""
"RL","Land Use","012","Algeria","5110","Area","6610","Agricultural land","2008","2008","1000 ha","41309","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6610","Agricultural land","2015","2015","1000 ha","41456.4","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6620","Cropland","2008","2008","1000 ha","8400","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6620","Cropland","2015","2015","1000 ha","8462.4","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6621","Arable land","2008","2008","1000 ha","7489","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6621","Arable land","2015","2015","1000 ha","7462.1","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6630","Temporary crops","2008","2008","1000 ha","3926","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6630","Temporary crops","2015","2015","1000 ha","4368.4","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6633","Temporary meadows and pastures","2008","2008","1000 ha","0","I","Imputed value",""
"RL","Land Use","012","Algeria","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","0","I","Imputed value",""
"RL","Land Use","012","Algeria","5110","Area","6640","Temporary fallow","2008","2008","1000 ha","3563","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","3093.7","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6650","Permanent crops","2008","2008","1000 ha","911","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6650","Permanent crops","2015","2015","1000 ha","1000.3","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6655","Permanent meadows and pastures","2008","2008","1000 ha","32909","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","32994","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6656","Perm. meadows & pastures - Cultivated","2008","2008","1000 ha","24","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6656","Perm. meadows & pastures - Cultivated","2015","2015","1000 ha","25.5","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6659","Perm. meadows & pastures - Nat. growing","2008","2008","1000 ha","32885","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6659","Perm. meadows & pastures - Nat. growing","2015","2015","1000 ha","32968.5","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6649","Farm buildings and Farmyards","2008","2008","","","","",""
"RL","Land Use","012","Algeria","5110","Area","6649","Farm buildings and Farmyards","2015","2015","","","","",""
"RL","Land Use","012","Algeria","5110","Area","6671","Agriculture area under organic agric.","2008","2008","1000 ha","1","I","Imputed value",""
"RL","Land Use","012","Algeria","5110","Area","6671","Agriculture area under organic agric.","2015","2015","1000 ha","1.4","I","Imputed value",""
"RL","Land Use","012","Algeria","5110","Area","6672","Agriculture area certified organic","2008","2008","","","","",""
"RL","Land Use","012","Algeria","5110","Area","6672","Agriculture area certified organic","2015","2015","","","","",""
"RL","Land Use","012","Algeria","5110","Area","6668","Cropland area under organic agric.","2008","2008","","","","",""
"RL","Land Use","012","Algeria","5110","Area","6668","Cropland area under organic agric.","2015","2015","","","","",""
